0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
152  [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor /home/ubuntu/workspace/jetty/contexts at interval 0
223  [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /home/ubuntu/workspace/jetty/contexts/solr.xml
2942 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  – NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
3185 [main] INFO  org.apache.solr.servlet.SolrDispatchFilter  – SolrDispatchFilter.init()
3241 [main] INFO  org.apache.solr.core.SolrResourceLoader  – JNDI not configured for solr (NoInitialContextEx)
3242 [main] INFO  org.apache.solr.core.SolrResourceLoader  – using system property solr.solr.home: /home/ubuntu/workspace/jetty/solr
3243 [main] INFO  org.apache.solr.core.SolrResourceLoader  – new SolrResourceLoader for directory: '/home/ubuntu/workspace/jetty/solr/'
3251 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/ubuntu/workspace/jetty/solr/lib/solr-clustering-4.10.3.jar' to classloader
3252 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/ubuntu/workspace/jetty/solr/lib/solr-langid-4.10.3.jar' to classloader
3252 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/ubuntu/workspace/jetty/solr/lib/solr-analysis-extras-4.10.3.jar' to classloader
3253 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/ubuntu/workspace/jetty/solr/lib/contrib/' to classloader
3596 [main] INFO  org.apache.solr.core.ConfigSolr  – Loading container configuration from /home/ubuntu/workspace/jetty/solr/solr.xml
3973 [main] INFO  org.apache.solr.core.CoresLocator  – Config-defined core root directory: /home/ubuntu/workspace/jetty/solr
4004 [main] INFO  org.apache.solr.core.CoreContainer  – New CoreContainer 687182774
4005 [main] INFO  org.apache.solr.core.CoreContainer  – Loading cores into CoreContainer [instanceDir=/home/ubuntu/workspace/jetty/solr/]
4009 [main] INFO  org.apache.solr.core.CoreContainer  – loading shared library: /home/ubuntu/workspace/jetty/solr/lib
4011 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/ubuntu/workspace/jetty/solr/lib/solr-clustering-4.10.3.jar' to classloader
4011 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/ubuntu/workspace/jetty/solr/lib/solr-langid-4.10.3.jar' to classloader
4012 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/ubuntu/workspace/jetty/solr/lib/solr-analysis-extras-4.10.3.jar' to classloader
4012 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/ubuntu/workspace/jetty/solr/lib/contrib/' to classloader
4054 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting socketTimeout to: 0
4054 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting urlScheme to: null
4061 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting connTimeout to: 0
4061 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting maxConnectionsPerHost to: 20
4062 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting corePoolSize to: 0
4062 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting maximumPoolSize to: 2147483647
4062 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting maxThreadIdleTime to: 5
4063 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting sizeOfQueue to: -1
4063 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting fairnessPolicy to: false
4778 [main] INFO  org.apache.solr.update.UpdateShardHandler  – Creating UpdateShardHandler HTTP client with params: socketTimeout=0&connTimeout=0&retry=false
4781 [main] INFO  org.apache.solr.logging.LogWatcher  – SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
4782 [main] INFO  org.apache.solr.logging.LogWatcher  – Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
4784 [main] INFO  org.apache.solr.core.CoreContainer  – Host Name: 
4855 [main] INFO  org.apache.solr.core.CoresLocator  – Looking for core definitions underneath /home/ubuntu/workspace/jetty/solr
4873 [main] INFO  org.apache.solr.core.CoresLocator  – Found core blacklight-core in /home/ubuntu/workspace/jetty/solr/blacklight-core/
4874 [main] INFO  org.apache.solr.core.CoresLocator  – Found 1 core definitions
4878 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – new SolrResourceLoader for directory: '/home/ubuntu/workspace/jetty/solr/blacklight-core/'
5009 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrConfig  – Adding specified lib dirs to ClassLoader
5020 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/ubuntu/workspace/jetty/solr/lib/contrib/analysis-extras/lib/morfologik-polish-1.7.1.jar' to classloader
5021 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/ubuntu/workspace/jetty/solr/lib/contrib/analysis-extras/lib/morfologik-stemming-1.7.1.jar' to classloader
5021 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/ubuntu/workspace/jetty/solr/lib/contrib/analysis-extras/lib/morfologik-fsa-1.7.1.jar' to classloader
5021 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/ubuntu/workspace/jetty/solr/lib/contrib/analysis-extras/lib/icu4j-53.1.jar' to classloader
